id	sentence	mean_word_length	mean_syllables	max_syllables	lexical_density	tokens	max_dependency_distance	fin_verbs	mean_band_subtlex	mean_complexity
3	Etwa 5000 Jahre ist es her, seit die Sumerer das Sieden von Seife erfanden.	4.285714285714286	1.5714285714285714	3	0.35714285714285715	14	12	2	13.8	1.888888889
4	Als Nebenprodukt entstand damals natürlich auch die erste Seifenblase.	6.777777777777778	2.2222222222222223	4	0.4444444444444444	9	7	1	12.75	1.6
5	Wegen dieser leichten Vergänglichkeit wurde ,Seifenblase‘ zu einer Metapher für etwas, das zwar anziehend, aber dennoch inhalts- und gehaltlos ist.	6.1	2	4	0.35	20	21	2	15.5	4.428571429
6	Dies spiegelt sich zum Beispiel in der Redewendung „Der Traum zerplatzte wie eine Seifenblase“ oder im Synonym ,Seifenblasenwirtschaft‘ für Bubble Economy.	6.190476190476191	2	6	0.38095238095238093	21	26	1	14.875	3.3
7	In der Kunst wird spätestens seit dem Barock die Seifenblase durchgängig ikonographisch als ein Vanitassymbol benutzt und spiegelt sowohl die Schönheit als auch die Flüchtigkeit des menschlichen Lebens wider.	6.172413793103448	1.8620689655172413	5	0.41379310344827586	29	16	2	14.416666666666666	4
8	Seifenblasen lösen auf physikalische Weise komplexe räumliche Probleme in der Mathematik, da sie im Gleichgewichtszustand die kleinste Oberfläche zwischen Punkten und Kanten bilden.	6.826086956521739	2.260869565217391	5	0.6086956521739131	23	24	2	13.357142857142858	3.444444444
9	Seifenblasen bestehen aus einem dünnen (dipolaren) Wasserfilm, an dem sich innen und außen Seifenmoleküle anlagern mit einer dem Wasser zugewandten polaren, hydrophilen Carboxylat-Gruppe und einem dem Wasser abgewandten unpolaren, hydrophoben Alkylrest.	6.75	2.46875	6	0.5625	32	37	2	16.77777777777778	5
10	Der Aufbau ähnelt dem von Biomembranen, jedoch befindet sich bei Seifenblasen das Wasser innerhalb der Membran, nicht außerhalb.	6	1.9444444444444444	4	0.3888888888888889	18	18	2	13.714285714285714	3.444444444
11	Eine Seifenblase entsteht, wenn sich ein dünner Wasserfilm mit Seifenmolekülen vermischt.	7	2.272727272727273	6	0.5454545454545454	11	10	2	16	2.9
12	Beim Aufblasen entsteht eine Kugelform.	6.8	2.2	3	0.6	5	4	1	16	1.666666667
13	Infolge des gravitationsbedingten Auslaufens (Drainage) der zwischen den Seifenfilmoberflächen befindlichen Flüssigkeit dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus.	7.8	2.65	8	0.55	20	14	1	16.09090909090909	4.833333333
15	Zudem erfolgt im Laufe des Auslaufprozesses eine Anreicherung von Seifenfilm-stabilisierenden Tensidmolekülen im unteren Bereich der Seifenblase, sodass deren obere Region infolge des relativen Mangels von an die Oberfläche adsorbierten Tensidmolekülen zusätzlich destabilisiert wird.	7.323529411764706	2.6470588235294117	6	0.5588235294117647	34	37	2	16.157894736842106	5.7
16	Tatsächlich platzen die meisten Seifenblasen im oberen Teil.	6.5	2	4	0.5	8	8	1	12	2.666666667
