category	length	punct	numbers	text
spam	145	0.04827586206896552	TRUE	You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: <#>! IBHltd LdnW15H 150p/Mtmsgrcvd18+
ham	160	0.05	FALSE	Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always
spam	146	0.0273972602739726	TRUE	Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to <#> TnCs www.Ldew.com1win150ppmx3age16
ham	76	0.02631578947368421	FALSE	Sorry man, my stash ran dry last night and I can't pick up more until sunday
spam	124	0.024193548387096774	FALSE	Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service
spam	157	0.01910828025477707	FALSE	Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham	90	0.03333333333333333	FALSE	PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)
spam	163	0.06134969325153374	FALSE	URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !
ham	53	0.03773584905660377	FALSE	It shall be fine. I have avalarr now. Will hollalater
spam	94	0.031914893617021274	TRUE	<Forwarded from <#>>Please CALL <#> immediately as there is an urgent message waiting for you.
spam	126	0.0873015873015873	TRUE	PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call <#> Identifier Code: <#> Expires 31/10/04
spam	152	0.06578947368421052	TRUE	Congrats 2 mobile 3G Videophones R yours. call <#> now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p
spam	101	0.06930693069306931	TRUE	""For the most sparkling shopping breaks from 45 per person; call <#> or visit www.shortbreaks.org.uk""
ham	125	0.04	FALSE	""Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.""
spam	163	0.03680981595092025	TRUE	8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox <#> W4 5WQ norm 150p/tone 16+
spam	160	0.075	TRUE	I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to <#> for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )
spam	141	0.04964539007092199	TRUE	u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim <#>p/min (18 )
