word,length,rt,freq
zenith,5,753.69,22
zephyr,4,874.58,50
zeroed,5,929.23,20
zeros,5,625.09,50
zest,4,658.82,35
zigzag,6,785.26,23
zigzagging,8,955.4,3
zinc,4,624.03,43
zing,3,810.3,60
zip,3,586.94,389
zipped,4,668.29,27
zipper,4,716.52,144
zippy,4,674.66,19
zodiac,6,714.06,31
zodiacal,8,1159.21,2
zombie,5,706.28,184
zombies,6,737.56,115
zone,3,577.73,1026
zoned,4,736.3,18
zones,4,605.23,90
zoning,5,726.43,61
zoo,2,572.56,696
zoologist,9,714.09,12
zoology,7,685.28,17
zoom,3,549.76,181
zooming,5,709.69,32
zooms,4,666.93,3
zucchini,6,848.68,49
wizardry,7,805.64,20
wobble,4,748.4,30
wobbled,5,755.4,2
wobbling,6,809.33,11
wobbly,5,823.54,37
woe,2,734.84,119
woebegone,7,863.33,1
woeful,4,821.48,7
woke,3,704.9,1344
wolf,4,581.5,1034
wolfhound,8,807.82,1
wolves,5,640.16,302
woman,5,545.7,22166
womanhood,8,848.09,39
womanish,7,857.45,7
womanize,7,845.55,1
womanizer,8,768.82,21
womankind,9,900.56,9
womanly,7,707.68,8
womb,3,700.88,177
wombat,6,770.52,15
women,5,653.88,9978
womenfolk,8,762.13,8
won,3,659.9,38729
wonder,5,590.88,5966
wondered,6,639.88,760
wonderful,7,625.77,8364
wonderfully,8,646.42,114
wonderfulness,10,850.55,3
wondering,7,740.37,3231
wonders,6,612.03,297
wondrous,7,842.08,83
wondrously,9,846.28,1
wont,4,877.12,81
woo,2,746.73,343
wood,3,595.42,1377
woodblock,7,812.79,1
woodcarver,8,820.72,2
woodcock,6,871.96,4
woodcraft,8,661.68,1
woodcutter,7,777.81,12
woodcutters,8,779.13,1
wooded,5,754.97,17
wooden,4,703.73,367
woodland,7,745.41,57
woodpecker,7,696.37,50
woodpile,6,780.47,11
woods,4,573.88,1482
woodshed,6,845.03,22
woodsman,7,778.5,23
woodwind,7,735,15
woodwork,6,761.91,43
woodworking,8,742.69,5
woodworm,6,938.88,1
wooed,3,828.59,16
woof,3,720.39,141
wool,3,657.94,161
woolen,5,676.46,29
woollen,5,811.56,3
woolly,4,818.48,24
woozy,4,666,43
word,3,620.22,12013
worded,5,671.66,14
wording,5,660.06,14
wordless,6,694.18,2
wordplay,6,743.53,9
words,4,598.45,6223
wordy,4,696.13,8
wore,3,760.09,1081
work,3,633.15,40699
workable,6,712.77,17
workbench,7,738.27,10
workbook,6,711.79,6
workday,5,660.56,13
worked,4,708.65,5877
worker,4,588.14,558
workers,5,628.09,595
workhorse,7,662.66,5
workhouse,6,766.97,16
working,5,531.82,12775
workingmen,8,969.72,2
workings,6,598.22,42
workman,6,637.07,40
workmanship,9,785.03,28
workmen,6,708,50
workout,5,583.6,141
workouts,6,695.5,12
workroom,6,748.13,11
works,4,672.25,5357
worksheet,6,727.09,5
workshop,6,681.31,143
workshops,7,722.66,15
world,4,570.82,23216
worldly,6,870.12,77
worlds,5,680.45,453
worldwide,7,646.75,161
worm,3,638.64,516
wormhole,6,952.69,98
worms,4,630.11,321
wormwood,6,755.5,23
wormy,4,705.42,11
worn,4,575.67,514
worried,5,597.38,4831
worriedly,7,792.64,1
worries,5,613.09,541
worrisome,6,935.62,12
worry,4,569.7,14638
worrying,6,630.13,827
worse,3,653.18,5002
worsen,4,791.38,20
worsened,5,823.63,9
worsens,5,815.04,13
worship,5,610.56,409
worshiped,6,663.06,22
worshipful,7,958.74,5
worshiping,7,704.53,3
worshipped,6,760.84,98
worshippers,7,772.15,18
worshipping,7,757.44,39
worst,4,701.67,2874
worsted,6,819.73,7
wort,3,732.7,19
worthiest,7,862.73,3
worthless,6,703.53,473
worthlessness,9,949.5,2
worthwhile,7,824.53,206
worthy,4,669.31,527
would,3,638.94,90162
wound,4,575.94,1353
wounded,6,635.58,992
wounding,6,759.19,18
wounds,5,629.12,717
wove,3,881.82,12
woven,4,712.3,32
wrack,3,769.83,5
wraith,3,795.75,10
wrangle,5,791.78,18
wrangled,6,762.97,5
wrangler,6,631.28,10
wrap,3,555.79,908
wrapped,4,580.97,600
wrapper,4,738,85
wrappers,5,677.67,29
wrapping,5,682.82,147
wraps,4,610.63,117
wrath,3,705.66,199
wrathful,5,832.73,5
wreak,3,670.08,30
wreath,3,677.45,54
wreathed,4,805.57,1
wreaths,4,843.66,17
wreck,3,625.13,697
wreckage,5,788.82,106
wrecked,4,700.47,272
wrecker,4,718.06,26
wrecking,5,743.82,109
wrench,4,637.44,202
wrenched,5,719.33,16
wrenches,6,764.63,15
wrenching,6,715.13,10
wrest,4,682.63,6
wrestle,4,731.34,176
wrestler,5,717.42,91
wrestles,5,815.63,3
wrestling,6,630.19,446
wretch,3,826.46,83
wretched,5,740.13,185
wretchedness,8,915.35,2
wriggle,4,762.58,21
wring,3,748.25,62
wringer,4,815,21
wrings,4,862.56,3
wrinkle,5,652.47,96
wrinkled,6,662.13,86
wrinkles,6,642.59,103
wrinkly,6,777.29,17
wrist,4,616.42,527
wristband,8,735.76,9
wrists,5,699.52,222
wristwatch,7,809.43,59
writ,3,793.94,88
write,3,608,6467
writer,4,661.59,1200
writers,5,674.06,303
writes,4,596.74,421
writhe,3,811,9
writhing,5,791.71,21
writing,5,695.12,2852
writings,6,746.63,54
writs,4,897.38,2
written,4,578.63,2247
wrong,3,637.86,26678
wrongdoer,6,962.47,1
wronged,4,670.93,56
wrongdoing,7,821.61,26
wrongful,5,644.23,54
wrongly,5,669.82,48
wrongs,4,614.59,53
wrote,3,702.84,3629
wrought,3,752.39,44
wry,2,686.13,10
wryly,4,830.68,2
xenon,5,923.35,34
xenophobia,9,914.55,3
xenophobic,9,1021.65,3
xylophone,7,778.16,9
xylophones,8,1016.82,1
yacht,3,743.4,419
yachting,5,910.55,17
yachts,4,907.96,25
yachtsman,7,1019.05,3
yachtsmen,7,1002.11,2
yahoo,4,659.19,149
yak,3,742.55,71
yaks,4,990.12,7
yammer,4,814.67,6
yank,4,758.77,240
yanked,5,748.57,60
yanking,6,789.62,40
yanks,5,715.62,122
yap,3,790.67,73
yapping,5,896.96,58
yard,4,623.47,1278
yardage,6,1150.2,3
yards,5,654.91,760
yardstick,8,731.73,17
yarn,4,642.13,81
yarns,5,665.45,9
yawl,3,815.44,12
yawn,3,701.26,51
yawning,5,743.87,48
yaws,3,908,1
year,3,592.17,14174
yearbook,6,606.88,241
yearling,5,725.65,12
yearlong,6,735.25,2
yearly,5,664.91,45
yearn,3,739.91,49
yearned,4,704.26,20
yearning,5,753.24,81
yearnings,6,836.44,7
years,4,558.39,29003
yeast,4,628.09,44
yeasts,5,705.48,3
yell,3,672.62,939
yelled,4,663.78,313
yeller,4,861.44,25
yelling,5,636,1087
yellow,4,618.91,1724
yellowed,5,748.85,1
yellowing,6,800.1,9
yelp,4,733.36,7
yelped,5,771.65,6
yelping,6,856.96,23
yelps,5,802.18,24
yen,3,792.26,312
yeoman,5,764.7,9
yesterday,7,696,4935
yesteryear,8,859.35,9
yet,3,600.35,17428
yeti,4,941.3,14
yield,4,607.03,206
yielded,6,672.21,21
yielding,6,657.64,22
yields,5,705.39,29
yodel,4,907.6,43
yodeling,6,995.82,13
yoga,4,691.67,227
yogurt,5,761.52,116
yoke,3,706.5,22
yokel,4,722.42,16
yokels,5,791.78,29
yolk,3,751.58,21
yonder,5,832.09,178
yore,3,755.56,13
young,3,700.34,12402
younger,5,626.13,1257
youngest,7,703.9,255
youngish,5,745.52,1
youngster,6,721.44,74
youngsters,7,729.06,88
youth,3,688.61,858
youthful,5,745.67,79
youths,4,731.97,36
yowl,3,837.5,1
yucca,4,829.54,14
yuletide,6,1119.29,27
zany,4,832.04,10
zap,3,675.81,125
zeal,3,707.13,31
zealot,5,790.41,10
zealotry,7,1077.86,5
zealous,5,672.86,15
zealously,7,775.68,3
zebra,5,626.68,128
zeitgeist,7,1129.75,6
wheel,4,563.42,1380
wheelbarrow,8,749.55,31
wheelbase,7,892.86,4
wheelchair,7,747.5,316
wheeled,5,709.44,41
wheeling,6,692.12,39
wheels,5,666.45,678
wheelwright,7,934.33,2
wheeze,4,686.38,29
wheezed,5,742.93,1
wheezes,6,783.36,11
wheezing,6,753.58,40
wheezy,5,685.9,14
whelp,5,778.93,24
whence,5,889,53
whenever,7,733.67,1790
where,4,635.06,93341
whereabouts,9,875.8,327
whereby,6,756.63,37
wherefore,7,867.69,44
wherefores,8,1020.2,2
wherein,6,966.96,25
whereof,6,804.33,10
whereon,6,1018,1
whereto,6,868.15,1
wherever,7,763.28,1500
wherewith,7,980.89,1
wherewithal,9,1181.4,7
whet,4,905.6,8
whetstone,8,787,9
whetted,6,832.4,5
whey,3,783.56,4
whiff,4,790.63,127
whig,4,711.43,3
whigs,5,810.23,5
whim,4,699.38,119
whimper,6,785.59,37
whimpering,8,738.58,127
whims,5,715.93,39
whimsical,8,802.87,40
whimsy,6,815.97,24
whine,4,684.48,83
whined,5,746.46,5
whining,6,754.58,244
whinnied,6,962.5,1
whinny,5,818.97,13
whip,4,608.48,671
whiplash,7,837.22,90
whipped,5,644.18,370
whippersnapper,10,853.54,8
whippet,6,1209.67,5
whipping,6,625.31,112
whippoorwill,8,824.19,27
whips,5,593.94,60
whir,3,709.83,5
whirl,4,580.97,89
whirled,5,638.97,2
whirligig,8,1006.67,2
whirling,6,655.65,35
whirlpool,7,686.39,31
whirlwind,8,789.22,49
whirring,5,762.64,138
whisk,5,634.62,29
whisked,6,728.09,10
whisker,6,632.59,13
whiskered,7,655.59,3
whiskers,7,660.82,109
whiskey,6,622.59,822
whisking,7,787.5,6
whisky,6,612.24,205
whisper,6,608.65,403
whispered,7,700.94,103
whisperer,7,922.8,9
whispering,8,661.06,413
whisperings,9,814.16,3
whispers,7,657.24,280
whistle,5,700.82,788
whistled,6,687.03,25
whistling,7,751.85,261
white,4,553.97,8744
whiten,5,828.83,3
whitened,6,836.69,1
whiteness,7,808.19,6
whitening,7,782.63,2
whites,5,605.5,232
whitetail,7,833.42,1
whitewash,7,759.67,33
whitewashed,8,885.77,11
whither,5,815.48,18
whiting,6,826.53,31
whittle,5,763.65,21
whiz,4,671.67,199
whizzed,5,789.03,5
whizzing,6,798.43,22
whodunit,7,893.91,8
whole,3,612.87,19660
wholeheartedly,11,898.76,15
wholeness,6,705.35,5
wholesale,6,655.31,85
wholesalers,8,799.71,6
wholesome,5,653.03,81
wholewheat,6,955,2
wholly,4,750.24,69
whooping,5,739.35,105
whopper,5,673.56,43
whoppers,6,694.13,24
whopping,6,700.07,31
whore,3,605.77,1076
whorehouse,6,921.57,79
whoremonger,8,1134.61,3
whores,4,849.75,297
whorl,4,776.42,3
whorls,5,711.8,1
why,3,556.23,114687
wicked,5,698.45,678
wickedly,7,877.09,10
wickedness,8,778.88,39
wicker,4,651.9,48
wicket,5,876.65,7
wickets,6,827.61,3
wide,3,561.12,1214
widely,5,569.77,76
widen,4,754.52,42
widened,5,952.5,14
widens,5,768.19,3
wider,4,704.54,127
widespread,8,770.88,47
widest,6,798.93,6
widow,4,615.59,617
widowed,5,686.39,29
widower,5,806.42,72
widowhood,7,1047.55,4
widows,5,774.55,95
width,4,741.71,35
wield,4,704.77,39
wielded,6,802.83,8
wielder,5,798.38,3
wieners,5,901.56,11
wife,3,584.8,17795
wifely,5,885.04,10
wig,3,579.91,426
